나이,퇴사여부,출장,일당,분야,집까지의 거리,교육,교육분야,근무 환경,성별,직업참여,직업 레벨,직무,직업안전도,결혼 여부,월소득,일한 회사수,초과근무,연봉인상비율,성능등급,관계만족도,스톡옵션레벨,총근무년도,작년 교육시간,워라벨,회사에서 근속년수,현재 역할수,마지막 승진 이후 몇년,현재 관리자와 함께 몇년
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,4,Yes,21,4,3,0,14,4,3,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,3,0,2,3,2,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,7,Yes,19,3,3,1,5,2,2,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,4,4,0,11,2,3,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,22,4,4,1,16,2,3,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,3,2,10,1,2,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,1,No,18,3,1,0,6,3,3,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,1,No,15,3,3,0,5,2,3,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,3,No,13,3,3,1,3,3,3,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,3,No,23,4,2,2,10,4,3,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,1,No,16,3,4,0,9,3,3,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,1,No,22,4,4,1,22,3,2,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,0,Yes,22,4,4,0,11,2,1,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,2,Yes,13,3,3,1,21,5,2,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,1,No,16,3,1,0,12,0,3,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,9,No,12,3,1,1,16,5,1,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,0,No,21,4,1,1,4,2,2,3,2,0,2
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,0,No,13,3,3,0,38,1,2,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,4,No,12,3,3,1,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,4,Yes,22,4,4,0,7,3,3,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,1,No,13,3,4,0,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,2,0,1,5,3,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,1,No,14,3,3,0,16,3,3,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,4,1,17,2,4,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,18844,9,No,21,4,4,1,30,3,3,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,3,Yes,19,3,1,0,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,1,Yes,11,3,4,0,6,1,3,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,1,No,11,3,3,2,2,2,3,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,1,No,15,3,3,0,1,5,3,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,3,No,20,4,3,0,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,1,Yes,24,4,4,0,9,3,3,9,7,0,6
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,Single,17328,2,Yes,12,3,3,0,23,3,3,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,0,No,12,3,3,1,6,2,3,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,6,No,15,3,3,1,12,3,3,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,7428,2,No,12,3,1,0,12,3,3,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,Single,11631,2,No,12,3,4,0,14,6,3,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,9738,0,No,14,3,3,1,10,6,3,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,2835,5,No,22,4,1,1,7,2,3,1,0,0,0
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,16959,1,Yes,12,3,4,2,25,3,4,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2613,1,No,25,4,3,3,10,2,2,10,7,0,9
33,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,Married,6146,0,No,13,3,1,1,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,4963,9,Yes,18,3,1,3,7,2,3,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,Single,19537,7,No,13,3,3,0,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,6172,4,Yes,18,3,2,0,12,3,2,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,2368,1,No,19,3,3,0,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,1,No,12,3,4,1,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,1,Yes,19,3,4,0,0,2,2,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,0,No,14,3,3,1,3,2,3,2,1,2,1
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,6567,1,No,14,3,3,0,16,2,2,15,11,5,11
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4739,4,No,12,3,4,0,18,2,3,3,2,1,2
50,No,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,3,3,Sales Executive,4,Single,9208,4,No,11,3,4,0,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,4559,3,Yes,11,3,3,1,4,2,3,2,2,2,2
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,8189,3,Yes,13,3,3,1,12,2,3,9,7,0,7
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,2942,1,No,23,4,4,1,8,3,3,8,7,5,7
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4941,6,No,20,4,4,2,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,10650,2,No,15,3,4,0,18,2,3,4,2,0,3
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,5902,4,No,14,3,3,1,17,1,4,15,11,5,9
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,8639,2,No,18,3,4,0,6,3,3,2,2,2,2
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,3,Male,3,2,Human Resources,4,Married,6347,0,Yes,19,3,4,0,12,2,1,11,9,4,7
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,4200,7,No,22,4,1,0,10,2,4,5,4,0,4
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,3,Male,3,1,Research Scientist,4,Single,3452,5,No,13,3,2,0,9,2,2,6,5,0,3
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,4317,3,Yes,20,4,2,0,19,2,3,3,2,2,2
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,2632,1,No,14,3,3,0,5,4,2,5,4,0,4
32,No,Travel_Frequently,689,Sales,9,2,Medical,4,Male,1,2,Sales Executive,4,Divorced,4668,0,No,17,3,4,3,9,2,4,8,7,0,7
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,3204,5,No,14,3,4,1,8,3,3,3,2,2,2
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,2,Male,2,1,Laboratory Technician,4,Single,2720,0,No,13,3,4,0,6,3,3,5,3,1,2
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,17181,4,No,13,3,2,1,21,2,2,7,6,7,7
41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,2238,2,No,21,4,4,1,7,2,3,5,0,1,4
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,1,No,14,3,4,0,1,3,3,1,0,0,0
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,5605,1,No,11,3,1,1,20,2,3,20,7,2,13
35,No,Travel_Rarely,662,Sales,1,5,Marketing,3,Male,3,3,Sales Executive,2,Married,7295,1,No,13,3,1,2,10,3,3,10,8,0,6
53,No,Travel_Rarely,1436,Sales,6,2,Marketing,2,Male,3,2,Sales Representative,3,Married,2306,2,Yes,20,4,4,1,13,3,1,7,7,4,5
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,2348,8,No,18,3,3,1,20,2,1,17,9,0,15
32,No,Travel_Frequently,967,Sales,8,3,Marketing,2,Female,3,3,Sales Executive,4,Single,8998,1,No,14,3,4,0,9,2,3,9,8,3,7
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,Married,4319,1,No,13,3,1,1,10,1,3,10,7,0,9
51,No,Travel_Rarely,1169,Research & Development,7,4,Medical,2,Male,2,2,Manufacturing Director,3,Married,6132,2,No,17,3,3,0,10,2,3,1,0,0,0
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,2,Female,2,1,Research Scientist,2,Married,3346,4,Yes,20,4,2,1,9,3,2,1,0,0,0
40,No,Travel_Rarely,630,Sales,4,4,Marketing,3,Male,2,3,Sales Executive,4,Married,10855,7,No,11,3,1,1,15,2,2,12,11,2,11
34,No,Travel_Frequently,303,Sales,2,4,Marketing,3,Female,3,1,Sales Representative,3,Married,2231,6,No,18,3,4,1,6,3,3,4,3,1,2
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,3,Male,3,1,Research Scientist,4,Married,2323,1,No,24,4,1,2,2,6,3,2,2,2,2
27,No,Non-Travel,691,Research & Development,9,3,Medical,4,Male,3,1,Research Scientist,2,Divorced,2024,6,No,18,3,4,1,6,1,1,2,2,2,2
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,3,Male,3,1,Research Scientist,4,Married,2713,1,No,11,3,3,1,5,2,1,5,2,0,2
57,No,Travel_Rarely,334,Research & Development,24,2,Life Sciences,3,Male,4,3,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,2,1,12,2,1,5,3,1,4
27,No,Non-Travel,1450,Research & Development,3,3,Medical,3,Male,2,1,Research Scientist,3,Divorced,2566,1,Yes,15,3,4,1,1,2,2,1,1,0,1
50,No,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,3,Female,3,5,Manager,2,Single,19926,3,No,15,3,2,0,21,5,3,5,4,4,4
